product_name,category,price,rating,review_count,bsr,competition,cost_price,shipping_cost,referral_fee_rate,features
Ubiquiti UniFi 6 Lite Access Point,access_point,99,4.7,4200,2100,32,55,10,0.12,"wifi 6, dual band, ceiling mount"
Ubiquiti UniFi 6 Long-Range AP,access_point,179,4.8,3900,1600,35,105,12,0.12,"wifi 6, long range, indoor"
Ubiquiti UniFi nanoHD Access Point,access_point,159,4.7,5100,1400,38,95,10,0.12,"802.11ac, wave 2, compact"
Ubiquiti UniFi AC Mesh Pro,access_point,199,4.6,2800,3200,40,125,15,0.12,"outdoor, mesh, dual band"
Ubiquiti UniFi AC Lite,access_point,89,4.7,7300,900,30,48,10,0.12,"indoor, dual band, poe"
Ubiquiti UniFi In-Wall HD,access_point,219,4.5,1700,3800,45,135,15,0.12,"in-wall, poe passthrough, wave 2"
Ubiquiti UniFi 6 Mesh,access_point,189,4.6,2500,2600,42,115,12,0.12,"mesh, wifi 6, outdoor"
TP-Link Omada EAP245 Access Point,access_point,119,4.6,3400,2800,34,70,10,0.12,"omada, gigabit, indoor"
Ruckus R550 Wi-Fi 6 Access Point,access_point,549,4.8,620,1200,55,360,20,0.10,"enterprise, wifi 6, beamforming"
Cambium XV2-2T Outdoor Wi-Fi 6 AP,access_point,799,4.7,270,1800,60,520,25,0.10,"outdoor, enterprise, wifi 6"
MikroTik hAP ac2 Router,router,79,4.5,2100,4200,30,40,8,0.12,"dual band, home router, poe out"
MikroTik hAP ax2 WiFi 6 Router,router,139,4.6,950,3500,32,80,10,0.12,"wifi 6, gigabit, home"
MikroTik RB4011iGS+RM Router,router,249,4.7,730,2600,40,145,12,0.12,"10x gigabit, sfp+, rackmount"
MikroTik CCR2004-16G-2S+ Router,router,599,4.8,410,1900,55,380,18,0.10,"carrier grade, 16x gigabit, sfp+"
MikroTik CCR1009-7G-1C-1S+PC,router,499,4.6,530,2300,52,320,18,0.10,"cloud core, fanless, sfp+"
Ubiquiti EdgeRouter X,router,59,4.6,6800,3500,28,28,8,0.12,"gigabit, poe, small office"
Ubiquiti EdgeRouter 4,router,199,4.7,1900,2700,38,120,10,0.12,"gigabit, advanced routing"
Cisco RV345 Dual WAN Gigabit Router,router,329,4.4,420,4100,50,210,15,0.10,"dual wan, vpn, small business"
Peplink Balance One Core Router,router,499,4.6,260,3900,55,320,18,0.10,"load balancing, dual wan, vpn"
MikroTik Audience Tri-band Mesh Router,router,219,4.5,610,3600,42,130,12,0.12,"mesh, tri band, home wifi"
Ubiquiti UniFi Switch 8 60W,switch,109,4.8,5100,2200,30,60,10,0.12,"8 port, poe, managed"
Ubiquiti UniFi Switch 16 PoE,switch,229,4.7,2800,2100,35,135,12,0.12,"16 port, poe, rackmount"
Ubiquiti UniFi Switch 24 PoE Gen2,switch,399,4.8,1700,1800,40,250,18,0.10,"24 port, poe, managed"
Ubiquiti UniFi Switch 48 PoE Gen2,switch,799,4.7,840,1600,50,520,25,0.10,"48 port, poe, layer 2"
MikroTik CRS328-24P-4S+RM,switch,649,4.6,430,2400,48,410,20,0.10,"24 port poe, 4x sfp+, rack"
MikroTik CRS112-8P-4S-IN,switch,249,4.5,780,3000,38,150,15,0.12,"8 port poe, 4x sfp"
TP-Link Omada TL-SG2210MP,switch,179,4.6,1900,3200,34,105,12,0.12,"8 port poe, smart switch"
Cisco CBS350-24P-4X,switch,899,4.7,360,1700,55,590,25,0.10,"24 port poe, 10g uplinks, layer 3"
Netgear GS108 8-Port Gigabit Switch,switch,39,4.8,9800,4700,25,18,8,0.12,"unmanaged, metal case, desktop"
Yealink T31P Entry-Level IP Phone,voip_phone,69,4.6,1400,4100,30,32,8,0.12,"2 line, poe, lcd"
Yealink T33G Gigabit IP Phone,voip_phone,89,4.7,2100,3700,32,45,8,0.12,"gigabit, 4 line, poe"
Yealink T46U Gigabit Color IP Phone,voip_phone,189,4.8,1100,2900,38,120,10,0.12,"color display, 16 line, gigabit"
Yealink T58W Pro Video-Ready Phone,voip_phone,389,4.7,420,2600,45,240,12,0.10,"android, bluetooth, camera ready"
Grandstream GXP1610 Basic IP Phone,voip_phone,49,4.5,2600,4300,28,22,7,0.12,"1 line, poe, small office"
Grandstream GXP2170 Enterprise IP Phone,voip_phone,139,4.6,890,3300,35,80,9,0.12,"12 line, gigabit, color screen"
Grandstream GRP2615 Carrier IP Phone,voip_phone,179,4.6,610,3100,36,105,10,0.12,"wifi, gigabit, color display"
Poly VVX 450 Business IP Phone,voip_phone,249,4.5,520,3500,40,160,12,0.10,"12 line, color, gigabit"
Fanvil X4U Gigabit IP Phone,voip_phone,119,4.6,770,3600,32,65,8,0.12,"dual screen, gigabit, poe"
Mimosa B5c Backhaul Radio,wireless_bridge,899,4.7,280,2300,52,590,25,0.10,"5ghz, backhaul, connectorized"
Mimosa C5x Modular Radio,wireless_bridge,179,4.6,540,3400,40,110,12,0.12,"modular antenna, ptmp, outdoor"
Ubiquiti airFiber 5XHD,wireless_bridge,979,4.8,260,1900,55,640,25,0.10,"5 ghz, backhaul, airmax ac"
Ubiquiti NanoBeam 5AC Gen2,wireless_bridge,129,4.7,3300,2600,34,75,10,0.12,"cpe, 5ghz, bridge"
Ubiquiti LiteBeam 5AC Gen2,wireless_bridge,89,4.7,4100,2800,30,48,10,0.12,"lightweight, 5ghz, cpe"
Cambium ePMP Force 300-25,wireless_bridge,249,4.6,620,2700,42,155,15,0.12,"ptmp, 5ghz, high gain"
Cambium PTP 550 5GHz Backhaul,wireless_bridge,1399,4.7,190,1700,60,920,30,0.10,"dual core, gigabit, carrier"
MikroTik LHG 5 Wireless Dish,wireless_bridge,79,4.5,2100,3600,32,42,10,0.12,"dish antenna, 5ghz, cpe"
MikroTik LHG XL 52 ac,wireless_bridge,189,4.6,480,3200,40,115,12,0.12,"dual band, long range"
Ubiquiti airMAX PowerBeam 5AC Gen2,wireless_bridge,159,4.7,2700,2500,36,92,10,0.12,"airmax, directional, outdoor"
Ubiquiti AM-5G19-120 Sector Antenna,antenna,219,4.6,710,3300,38,130,15,0.12,"120 degree, 5ghz, sector"
Ubiquiti AMO-5G13 Omni Antenna,antenna,179,4.5,520,3600,36,105,12,0.12,"omni, 5ghz, outdoor"
Mimosa N5-45x2 Sector Antenna,antenna,349,4.7,260,3000,42,230,18,0.10,"dual slant, 4.9-6.4ghz"
RF Elements Horn 30° Symmetrical,antenna,189,4.8,410,2900,38,115,12,0.12,"horn, noise rejection, 5ghz"
KP Performance 2.4GHz Omni,antenna,149,4.5,320,4100,34,85,10,0.12,"2.4ghz, omni, fiberglass"
KP Performance 5GHz 4-Port Sector,antenna,399,4.6,210,3100,45,250,18,0.10,"mu mimo, 17dbi, sector"
Cambium 3GHz 90° Sector Antenna,antenna,599,4.6,140,2800,48,380,20,0.10,"3ghz, rural, ptp"
Ubiquiti RocketDish 5GHz RD-5G34,antenna,349,4.7,390,2500,42,230,18,0.10,"34dbi, parabolic, backhaul"
Ubiquiti IsoStation 5AC,antenna,129,4.5,980,3700,36,70,10,0.12,"isolation, cpe, 5ghz"
Ubiquiti POE-24-12W-G PoE Injector,power,19,4.8,8400,4600,25,7,6,0.12,"24v poe, gigabit, indoor"
Ubiquiti POE-48-24W-G PoE Injector,power,29,4.7,5200,4300,26,12,7,0.12,"48v poe, gigabit"
MikroTik RBGPOE-CON-HP PoE Injector,power,24,4.6,1900,4800,28,9,6,0.12,"high power, passive poe"
Tycon TP-SW5G PoE Switch, power,149,4.5,430,4100,34,85,12,0.12,"5 port, outdoor, poe switch"
Tycon TP-DCDC-1248 PoE Converter,power,69,4.6,820,4200,30,32,8,0.12,"dc-dc, 12–48v, poe"
APC Smart-UPS 1500VA, power,629,4.7,2600,2100,40,410,25,0.10,"line interactive, rackmount, battery backup"
APC Back-UPS Pro 1000VA,power,229,4.7,5400,2500,32,130,18,0.10,"tower, surge protection, ups"
CyberPower 1500VA PFC Sinewave UPS,power,299,4.6,3100,2600,35,185,20,0.10,"pure sine, rack/tower"
Ubiquiti Cloud Key Gen2 Plus,controller,199,4.7,3600,2100,34,115,10,0.12,"unifi controller, 1tb hdd"
Ubiquiti UniFi Dream Machine,controller,299,4.8,5200,1800,38,185,15,0.10,"all in one, router, ap, switch"
Ubiquiti UniFi Dream Machine Pro,controller,379,4.7,3900,1700,42,240,18,0.10,"rackmount, nvr, security gateway"
Ubiquiti UniFi Cloud Gateway Ultra,controller,249,4.6,850,2600,38,150,15,0.10,"security, gateway, controller"
TP-Link Omada Hardware Controller OC200,controller,99,4.6,1900,3200,30,55,8,0.12,"omada, controller, cloud"
TP-Link Omada Hardware Controller OC300,controller,179,4.7,920,3100,34,105,10,0.12,"rackmount, controller"
Cisco Meraki Go GX50 Security Gateway,controller,399,4.4,310,2900,45,260,18,0.10,"security, firewall, remote manage"
Ubiquiti UniFi Protect NVR,controller,499,4.7,540,2300,48,330,20,0.10,"video recorder, 4 bay"
Synology DS220+ NAS 2-Bay,storage,329,4.8,6400,2000,38,210,15,0.10,"nas, intel cpu, 2 bay"
Synology DS920+ NAS 4-Bay,storage,599,4.9,4200,1500,45,380,20,0.10,"4 bay, nvme cache, nas"
QNAP TS-451D2 NAS,storage,479,4.6,2100,1900,42,305,18,0.10,"4 bay, plex, intel"
Ubiquiti UniFi G4 Bullet Camera,security,199,4.7,2300,2400,36,120,12,0.10,"4mp, poe, outdoor camera"
Ubiquiti UniFi G4 Pro Camera,security,449,4.8,1100,1900,45,290,15,0.10,"4k, zoom lens, nvr"
Hikvision 4MP Turret IP Camera,security,129,4.6,3100,3000,34,70,10,0.10,"4mp, ir, poe"
Hikvision 8CH NVR 4K,security,259,4.5,1400,3100,36,155,15,0.10,"8 channel, 4k, nvr"
Reolink 8MP 4K PoE Camera,security,99,4.6,5400,3300,32,50,10,0.10,"4k, poe, smart detection"
Reolink 16CH NVR Kit,security,599,4.7,1900,2200,40,390,20,0.10,"16 channel, 4k kit"
Ubiquiti AmpliFi Alien Mesh Router,mesh,379,4.7,2800,1900,40,240,15,0.10,"wifi 6, mesh, touchscreen"
Netgear Orbi RBK752 Mesh WiFi 6,mesh,449,4.6,3100,2000,42,290,18,0.10,"tri band, mesh, wifi 6"
Netgear Orbi RBK852 Mesh WiFi 6,mesh,799,4.7,2100,1700,48,520,22,0.10,"high performance, mesh, wifi 6"
TP-Link Deco X60 Mesh WiFi 6,mesh,349,4.6,4300,2200,38,220,15,0.10,"3 pack, mesh, wifi 6"
TP-Link Deco S4 Mesh WiFi,mesh,169,4.7,8600,2600,32,95,12,0.10,"budget, mesh, dual band"
Google Nest Wifi Pro 6E,mesh,399,4.5,2500,2100,40,260,15,0.10,"wifi 6e, mesh, smart home"
Amazon eero Pro 6E 3-Pack,mesh,499,4.5,3100,2000,42,330,18,0.10,"mesh, wifi 6e, tri band"
Ubiquiti UniFi Floor Access Box,accessory,129,4.4,260,4500,32,70,12,0.12,"floor box, structured cabling"
Ubiquiti USP-Cable-Patch-3M 3m Patch Cable,accessory,12,4.8,9200,5200,22,4,5,0.12,"cat6, unifi, patch cable"
Ubiquiti FiberPatch 10G SFP+ 3m,accessory,39,4.7,3100,4300,26,16,6,0.12,"fiber, 10g, sfp+"
FS 10GBASE-SR SFP+ Module,accessory,49,4.7,1800,4200,28,22,6,0.12,"10g, sr, multimode"
FS 1m DAC Twinax Cable,accessory,29,4.8,2400,4400,24,11,5,0.12,"10g, dac, twinax"
Tripp Lite 24U Rack Enclosure,accessory,799,4.7,1200,2600,42,520,30,0.10,"network rack, 24u, locking"
Tripp Lite 12U Wall Mount Rack,accessory,299,4.7,3400,2800,36,185,20,0.10,"wall mount, 12u, hinged"
StarTech 1U Cable Management Panel,accessory,29,4.6,3100,4900,24,12,5,0.12,"cable manager, rackmount"
StarTech 48-Port Patch Panel Cat6,accessory,129,4.6,2100,3600,30,65,10,0.12,"cat6, rackmount, patch panel"
Ubiquiti UXG-Pro UniFi Security Gateway Pro,security,499,4.6,320,2100,48,320,18,0.10,"security gateway, vpn, unifi"
Fortinet FortiGate 40F Firewall,security,699,4.7,270,1900,55,460,20,0.10,"next gen firewall, sdn"
Palo Alto PA-220 Next-Gen Firewall,security,1499,4.8,190,1600,60,980,30,0.10,"ngfw, vpn, enterprise"
Juniper SRX320 Security Gateway,security,899,4.6,210,1800,55,590,25,0.10,"security, srx, branch"
Cradlepoint IBR900 LTE Router,router,799,4.5,260,2700,50,520,25,0.10,"lte, mobile router, rugged"
Siklu EtherHaul 1200FX Millimeter Radio,wireless_bridge,1999,4.7,90,1500,65,1320,40,0.10,"70/80ghz, gigabit backhaul"
